"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"209",209,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of quality PhD programmes in my home country","Yes","To make myself more attractive to future employers","5th","Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","Yes","I didn’t seek help","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"210",210,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Strongly disagree","Somewhat agree","No",NA,"Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Yes","Supervisor","Unsure","No",NA
"211",211,"35 - 44","Gender queer / Non binary","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Africa",NA,"Yes","To help make ends meet","1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","More than three hours","7 = Extremely satisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","I didn’t seek help","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Yes","Another student",NA,"No",NA
"212",212,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"4th","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Less than an hour","3","41-50 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","No",NA,NA,"No",NA
"213",213,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","11-20 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"214",214,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,NA,"Somewhat satisfied","Worsened a little","Does not meet original expectations","5","More than three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Strongly disagree","Somewhat agree","Prefer not to say",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Prefer not to say",NA
"215",215,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Australasia",NA,"No",NA,"2nd","Somewhat satisfied","Worsened a little","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","1 = Not at all satisfied","More than 80 hours","Neither agree nor disagree","Strongly agree","Yes","No, I sought help elsewhere","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"216",216,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Asia (including Middle East)",NA,"No",NA,"8th","Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","More than three hours","1 = Not at all satisfied","Less than 11 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"217",217,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","6","More than three hours","4 = Neither satisfied nor dissatisfied","71-80 hours","Somewhat disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Yes","Other academic staff member","Unsure","Yes","Racial discrimination or harassment"
"218",218,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"219",219,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to live in another country","No","Asia (including Middle East)","To experience another culture","No",NA,"4th","Very dissatisfied","Worsened a little","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","1 = Not at all satisfied","61-70 hours","Strongly disagree","Strongly agree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Racial discrimination or harassment"
"220",220,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Asia (including Middle East)",NA,"No",NA,"10th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","2","Less than an hour","1 = Not at all satisfied","61-70 hours","Somewhat agree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Yes","Another student","Unsure","No",NA
"221",221,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,NA,"Somewhat satisfied","Improved slightly","Does not meet original expectations","1 = Not at all satisfied","Other, please specify","1 = Not at all satisfied","51-60 hours","Strongly disagree","Neither agree nor disagree","Yes","I wanted to, but there was none available","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly agree","Yes","Other academic staff member","No","Prefer not to say",NA
"222",222,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Neither satisfied nor dissatisfied","Improved slightly","Does not meet original expectations","5","Less than an hour","1 = Not at all satisfied","71-80 hours","Strongly disagree","Strongly agree","No",NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"223",223,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Chance to pursue a specific research question","No",NA,"3rd","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","5","61-70 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"224",224,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","4th","Somewhat satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","6","61-70 hours","Somewhat agree","Somewhat agree","Prefer not to say",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Prefer not to say",NA,NA,"Prefer not to say",NA
"225",225,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"6th","Very satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","6","41-50 hours","Strongly agree","Strongly disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"226",226,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","Yes","To develop additional skills","2nd","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Less than an hour","1 = Not at all satisfied","51-60 hours","Strongly disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"227",227,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"3rd","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Strongly agree","Neither agree nor disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"228",228,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Lack of funding opportunities in my home country","No",NA,"2nd","Somewhat satisfied","Worsened a little","Does not meet original expectations","5","Other, please specify","3","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"229",229,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","3rd","Very satisfied","Stayed the same","Meets original expectations","3","Other, please specify","2","11-20 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"230",230,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Very satisfied","Worsened a little","Does not meet original expectations","5","Less than an hour","5","71-80 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"231",231,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Asia (including Middle East)","Chance to pursue a specific research question","No",NA,"5th","Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Less than an hour","7 = Extremely satisfied","51-60 hours","Somewhat agree","Strongly agree","No",NA,"Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Yes","Postdoc","No","No",NA
"232",232,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","No",NA,NA,"Neither satisfied nor dissatisfied","Improved slightly","Meets original expectations","5","Between one and three hours","3","31-40 hours","Prefer not to say","Strongly disagree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Prefer not to say","No",NA,NA,"No",NA
"233",233,"35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"11th","Somewhat satisfied","Worsened a little","Does not meet original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat agree","Yes","I wanted to, but there was none available","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes","Supervisor","No","Yes",NA
"234",234,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"Yes","To help make ends meet","1st","Somewhat satisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Strongly agree","Yes","Other, please specify","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"235",235,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","6","31-40 hours","Somewhat agree","Somewhat disagree","Yes","Yes, it was helpful","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"236",236,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Stayed the same","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","71-80 hours","Strongly disagree","Strongly agree","No",NA,"Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Yes","Postdoc","No","Yes","Racial discrimination or harassment"
"237",237,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","Europe",NA,"No",NA,"6th","Very dissatisfied","Significantly worsened","Does not meet original expectations","2","Less than an hour","1 = Not at all satisfied","41-50 hours","Somewhat disagree","Somewhat agree","No",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Supervisor","Unsure","No",NA
"238",238,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","To study at a specific university","No",NA,"9th","Somewhat satisfied","Stayed the same","Does not meet original expectations","N/A","Less than an hour","5","61-70 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","No",NA,NA,"No",NA
"239",239,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","11-20 hours","Neither agree nor disagree","Strongly agree","Yes","No, I sought help elsewhere","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"240",240,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","21-30 hours","Neither agree nor disagree","Strongly disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"241",241,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","More than three hours","7 = Extremely satisfied","31-40 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Prefer not to say","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"242",242,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to live in another country","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"8th","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","51-60 hours","Neither agree nor disagree","Strongly disagree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Yes","Another student","No","No",NA
"243",243,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","Europe","To experience another culture","No",NA,NA,"Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","71-80 hours","Neither agree nor disagree","Somewhat agree","Yes","I wanted to, but there was none available","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"Prefer not to say",NA
"244",244,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"5th","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","5","41-50 hours","Strongly agree","Strongly disagree","No",NA,"Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"245",245,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"Yes","To develop additional skills","1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","3","Less than an hour","5","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Prefer not to say",NA,NA,"No",NA
"246",246,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Other, please specify","No","Europe","Chance to pursue a specific research question","No",NA,"7th","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","2","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"247",247,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"Yes","To help make ends meet","5th","Very satisfied","Worsened a little","Does not meet original expectations","5","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat disagree","Somewhat disagree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"248",248,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"3rd","Somewhat satisfied","Stayed the same","Meets original expectations","5","Less than an hour","2","71-80 hours","Somewhat disagree","Strongly agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"249",249,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","Higher salaries post-study","No",NA,"2nd","Somewhat satisfied","Stayed the same","Does not meet original expectations","2","Less than an hour","3","71-80 hours","Somewhat disagree","Somewhat agree","Yes","I wanted to, but there was none available","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"250",250,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","6","51-60 hours","Strongly agree","Strongly disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"251",251,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"5th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","1 = Not at all satisfied","71-80 hours","Strongly disagree","Strongly agree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"Yes","Sexual harassment"
"252",252,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"4th","Somewhat satisfied","Worsened a little","Does not meet original expectations","3","Between one and three hours","5","31-40 hours","Somewhat disagree","Strongly disagree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"Yes","Gender discrimination"
"253",253,"25 - 34","Gender queer / Non binary","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Stayed the same","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","31-40 hours",NA,"Strongly disagree","Yes","Yes, it was helpful","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"254",254,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"7th","Very satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","6","41-50 hours","Somewhat disagree","Strongly agree","No",NA,"Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"255",255,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","3","Less than an hour","6","41-50 hours","Strongly agree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"256",256,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Neither satisfied nor dissatisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Neither agree nor disagree","Strongly disagree","No",NA,"Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"257",257,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","3","61-70 hours","Somewhat disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"258",258,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Somewhat satisfied","Improved slightly","Does not meet original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","Less than 11 hours","Somewhat agree","Strongly agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"259",259,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","6","Less than an hour","7 = Extremely satisfied","41-50 hours","Strongly agree","Neither agree nor disagree","No",NA,"Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"260",260,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,NA,"Somewhat satisfied","Worsened a little","Meets original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"261",261,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"2nd","Somewhat satisfied","Worsened a little","Meets original expectations","3","Less than an hour","7 = Extremely satisfied","51-60 hours","Neither agree nor disagree","Prefer not to say","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"262",262,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"2nd","Somewhat satisfied","Stayed the same","Meets original expectations","5","Between one and three hours","5","41-50 hours","Somewhat disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"263",263,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,NA,"Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","6","Less than an hour","2","51-60 hours","Somewhat disagree","Somewhat disagree","Yes","Other, please specify","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Prefer not to say",NA,NA,"No",NA
"264",264,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","Europe",NA,"No",NA,"1st","Somewhat dissatisfied","Worsened a little","Meets original expectations","6","Between one and three hours","2","41-50 hours","Neither agree nor disagree","Strongly agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"265",265,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","No",NA,NA,"Somewhat dissatisfied","Improved slightly","Does not meet original expectations","5","Other, please specify","5","41-50 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"266",266,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Between one and three hours","3","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"267",267,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","Yes","Other, please specify","4th","Very dissatisfied","Improved slightly","Meets original expectations","5","Less than an hour","3","51-60 hours","Somewhat agree","Neither agree nor disagree","Prefer not to say",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"268",268,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","No",NA,"3rd","Somewhat dissatisfied","Improved slightly","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat disagree","Strongly agree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"269",269,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","6","Less than an hour","5","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Yes","Other academic staff member","Unsure","Yes",NA
"270",270,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Somewhat satisfied","Stayed the same","Meets original expectations","N/A","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Prefer not to say","Prefer not to say","Prefer not to say",NA,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say","No",NA,NA,"No",NA
